,Real Values,Predicted Values
0,84.6,117.20288805721421
1,84.6,117.17843762095382
2,84.6,117.19110493576358
3,84.6,117.1940823638512
4,73.8,110.7533309112898
5,73.8,111.91252194274438
6,73.8,112.50228621521327
7,73.8,112.62468476746677
8,88.2,109.1771247290377
9,88.2,109.24374625870414
10,88.2,108.48790449845896
11,88.2,106.84873927423577
12,106.0,107.9252969489456
13,106.0,108.99749767660789
14,106.0,110.0581549653328
15,95.4,110.19317047692634
16,95.4,114.04141194610295
17,95.4,114.8720781147715
18,130.0,111.93396074754963
19,130.0,111.35264596966218
20,130.0,112.63740857811072
21,148.0,109.61361240564706
22,148.0,108.27226259658028
23,148.0,106.7976074942125
24,121.0,107.93243484756175
25,121.0,109.11862139167073
26,121.0,110.30946622187325
27,121.0,110.68047283410704
28,121.0,113.76796185954689
29,121.0,111.21785595348125
30,133.0,109.47440088218549
31,133.0,109.04039589676599
32,133.0,108.69885827174865
33,133.0,109.13261464545921
34,133.0,109.22243667284093
35,153.0,109.72989577425211
36,153.0,113.1408731674453
37,153.0,114.90427098222499
